protein,cancer_types,pmids,dois
Membrane Glycoproteins,breast cancer; melanoma,40892920,10.1073/pnas.2503081122
Kruppel-Like Transcription Factors,carcinoma; lung cancer,40892691,10.1096/fj.202501354R
"l role. however, the upstream factors controlling cers1 expression",carcinoma; lung cancer,40892691,10.1096/fj.202501354R
een implicated as a potential tumor suppressor transcription factor (tf) in,carcinoma; lung cancer,40892691,10.1096/fj.202501354R
a potential tumor suppressor transcription factor (tf) in lung cancer. our stud,carcinoma; lung cancer,40892691,10.1096/fj.202501354R
"interactions with rna-binding proteins (rbps). therefore, further e",carcinoma; lung cancer,40892530,10.1096/fj.202501444RR
on the stability of splicing factor proline- and glutamine-rich (,carcinoma; lung cancer,40892530,10.1096/fj.202501444RR
ELAV-Like Protein 1,carcinoma; lung cancer,40892530,10.1096/fj.202501444RR
Tumor Necrosis Factor-alpha,carcinoma; lung cancer,40892530,10.1096/fj.202501444RR
between circhmgcs1 and human antigen r (hur) protein was verified,carcinoma; lung cancer,40892530,10.1096/fj.202501444RR
". additionally, transcription factor activity and pseudotime traje",carcinoma; colorectal cancer,40891683,10.1002/cam4.71202
"xpressed genes. additionally, transcription factor activity and pseudotime traje",carcinoma; colorectal cancer,40891683,10.1002/cam4.71202
nalysis identified key ligand-receptor interactions involved in immu,carcinoma; colorectal cancer,40891683,10.1002/cam4.71202
ation analysis identified key ligand-receptor interactions involve,carcinoma; colorectal cancer,40891683,10.1002/cam4.71202
ogic cancer service to assess factors associated with obtaining a,carcinoma; ovarian cancer,40891252,10.1002/cnr2.70335
ras Proteins,carcinoma; lung cancer,40891208,10.1158/0008-5472.CAN-25-1989
"sion, typically regarded as a tumor suppressor. to elucidate its biological",carcinoma; lung cancer,40890861,10.1186/s40364-025-00815-w
"es platelet-type phosphofructokinase (pfkp) levels, a key rate-lim",carcinoma; lung cancer,40890861,10.1186/s40364-025-00815-w
") levels, a key rate-limiting enzyme in glycolysis, by enhancing i",carcinoma; lung cancer,40890861,10.1186/s40364-025-00815-w
"(a mitogen-activated protein kinase inhibitor [meki]), and cetuxi",colorectal cancer; sarcoma,40890837,10.1186/s40780-025-00480-z
"imetinib (a mitogen-activated protein kinase inhibitor [meki]), and",colorectal cancer; sarcoma,40890837,10.1186/s40780-025-00480-z
t. v-raf murine sarcoma viral oncogene homolog b1 (braf) mutations a,colorectal cancer; sarcoma,40890837,10.1186/s40780-025-00480-z
SMARCB1 Protein,breast cancer; carcinoma,40890601; 40890751,10.1186/s11658-025-00788-6; 10.1186/s13000-025-01705-3
Peptides,colorectal cancer; gastric cancer,40890441,10.1038/s41598-025-17915-0
Peptide Hydrolases,colorectal cancer; gastric cancer,40890441,10.1038/s41598-025-17915-0
activity with charge-changing peptides enables detection and classi,colorectal cancer; gastric cancer,40890441,10.1038/s41598-025-17915-0
s studies found that melanoma antigen genes (mage) were antigens ex,gastric cancer; melanoma,40890425,10.1038/s41598-025-17987-y
Repressor Proteins,breast cancer; carcinoma,40890191,10.1038/s41467-025-63659-w
of adipocyte enhancer-binding protein 1 (aebp1) positively correlat,breast cancer; carcinoma,40890191,10.1038/s41467-025-63659-w
MutS Homolog 2 Protein,carcinoma; lung cancer,40889797,10.1136/jitc-2025-011526
", an e2 ubiquitin-conjugating enzyme, and pancreatic cancer and pa",carcinoma; pancreatic cancer,40889735,10.1016/j.canlet.2025.218013
"ecifically, both the mrna and protein levels of ube2c are upregulat",carcinoma; pancreatic cancer,40889735,10.1016/j.canlet.2025.218013
"nf-related apoptosis-inducing ligand (trail) to trail-r1, which le",carcinoma; pancreatic cancer,40889658,10.1016/j.ijbiomac.2025.147227
Hyaluronan Receptors,breast cancer; cervical cancer,40888184,10.1002/cam4.71194
tance. the transmembrane glycoprotein cluster of differentiation 44,breast cancer; cervical cancer,40888184,10.1002/cam4.71194
RNA-Binding Proteins,bladder cancer,40916820,10.11817/j.issn.1672-7347.2025.250202
"r1, and proliferation-related proteins [proliferating cell nuclear",bladder cancer,40916820,10.11817/j.issn.1672-7347.2025.250202
"s [proliferating cell nuclear antigen (pcna), minichromosome mainte",bladder cancer,40916820,10.11817/j.issn.1672-7347.2025.250202
"Genes, Tumor Suppressor",bladder cancer,40916820,10.11817/j.issn.1672-7347.2025.250202
progression by regulating the tumor suppressor gene  bladder cancer is a com,bladder cancer,40916820,10.11817/j.issn.1672-7347.2025.250202
ancers belong to the estrogen receptor (er)-positive luminal subtype,breast cancer,40916662,10.1093/procel/pwaf076
n of such malignancies become hormone-refractory and incurable. can,breast cancer,40916662,10.1093/procel/pwaf076
"rin, n-cadherin, and vimentin proteins were detected with western b",breast cancer,40916530,10.12122/j.issn.1673-4254.2025.08.13
"the complex functions of tlr proteins in lung cancers, elucidating",lung cancer,40916441,10.2174/0113894501414090250903070446
targeting the toll-like receptor signaling pathway in lung can,lung cancer,40916441,10.2174/0113894501414090250903070446
vators and inhibitors of this protein are effective. for pkm2-based,ovarian cancer,40916418,10.2174/0118715206394408250806065235
"btz) functions as an androgen receptor signalling inhibitor, is used",prostate cancer,40916398,10.4274/tjps.galenos.2025.36559
"e drug-plga nbs using a three-factor, three-level box-behnken desi",prostate cancer,40916398,10.4274/tjps.galenos.2025.36559
arian cancer with high folate receptor alpha expression treated with,ovarian cancer,40916321,10.1016/j.ijgc.2025.102016
"human epidermal growth factor receptor-2 (her-2), a key biomarker in",breast cancer,40916269,10.1016/j.bioelechem.2025.109084
"marker her-2. human epidermal growth factor receptor-2 (her-2), a key bio",breast cancer,40916269,10.1016/j.bioelechem.2025.109084
"her-2. human epidermal growth factor receptor-2 (her-2), a key bio",breast cancer,40916269,10.1016/j.bioelechem.2025.109084
cise targeting. while ph- and enzyme-sensitive ddss are the most u,colorectal cancer,40916179,10.1002/adhm.202501540
Poly-ADP-Ribose Binding Proteins,breast cancer,40916080,10.1111/jcmm.70836
"the dna damage/repair pathway enzyme, poly (adp-ribose) polymerase",prostate cancer,40915979,10.1002/1878-0261.70098
and survival rates in hormone receptor-positive (hr+) breast cancer,breast cancer,40915962,10.1016/j.clbc.2025.07.024
"otypes, and survival rates in hormone receptor-positive (hr+) breas",breast cancer,40915962,10.1016/j.clbc.2025.07.024
"ads) score, prostate-specific antigen, and biopsy indication. secon",prostate cancer,40915879,10.1016/j.euo.2025.08.001
"ac-α serine/threonine-protein kinase (akt1), both of which are hig",breast cancer,40915714,10.1016/j.aca.2025.344462
"s for isolating ir780-labeled proteins, gel imaging using imagej an",breast cancer,40915714,10.1016/j.aca.2025.344462
"isk, particularly in estrogen receptor-positive subtypes. conversely",breast cancer,40915512,10.1016/j.toxlet.2025.111721
"ian cancer (oc). gap junction protein β-2 (gjb2), a key member of t",ovarian cancer,40915501,10.1016/j.bbamcr.2025.120058
olorectal cancer. ring finger protein 180 (rnf180) is an e3 ubiquit,colorectal cancer,40915184,10.1016/j.intimp.2025.115445
anti-trophoblast cell surface antigen 2 (trop2) antibody-drug conju,breast cancer,40914741,10.1007/s40291-025-00814-5
"ell surface antigen 2 (trop2) antibody-drug conjugate, has been appr",breast cancer,40914741,10.1007/s40291-025-00814-5
"diet, lifestyle, and genetic factors. this review synthesizes epi",lung cancer,40914511,10.1016/j.tjnut.2025.08.030
"ed/processed meats with plant proteins, poultry, or fish reduces di",lung cancer,40914511,10.1016/j.tjnut.2025.08.030
er cells secrete nerve growth factors and neurotropic factors that,colorectal cancer,40914425,10.1016/j.jare.2025.08.052
tential role of β2-adrenergic receptor (β2-ar). studies on the inter,colorectal cancer,40914425,10.1016/j.jare.2025.08.052
"e, cancer cells secrete nerve growth factors and neurotropic factors that",colorectal cancer,40914425,10.1016/j.jare.2025.08.052
ed that s100a4 binds the rage receptor to facilitate this process. p,colorectal cancer,40914345,10.1016/j.canlet.2025.218017
protein-coupled and toll like receptors. air pollution is a signific,lung cancer,40914212,10.1016/j.pharmthera.2025.108920
"on and diseases: signaling, g protein-coupled and toll like recepto",lung cancer,40914212,10.1016/j.pharmthera.2025.108920
nically. using activity-based protein profiling (abpp) and mass spe,colorectal cancer,40914158,10.1016/j.chembiol.2025.08.004
"capacity of pcdds to crucial proteins. finally, in vitro and in vi",prostate cancer,40914086,10.1016/j.ecoenv.2025.119009
rin is a nonheme iron-binding protein with a variety of proposed fu,melanoma,40914077,10.1016/j.molpha.2025.100070
ts of pirin on tumor necrosis factor α-activated p65-regulated gen,melanoma,40914077,10.1016/j.molpha.2025.100070
"dels, revealing that secreted protein acidic and rich in cysteine (",lung cancer,40914022,10.1016/j.biomaterials.2025.123675
cell death and improved tumor antigen presentation compared to eith,melanoma,40913863,10.1016/j.intimp.2025.115435
"herapy (et) for patients with hormone receptor-positive, human epid",breast cancer,40913835,10.1016/j.esmoop.2025.105758
"et) for patients with hormone receptor-positive, human epidermal gro",breast cancer,40913835,10.1016/j.esmoop.2025.105758
"itive, human epidermal growth factor receptor 2-negative early bre",breast cancer,40913835,10.1016/j.esmoop.2025.105758
"tor-positive, human epidermal growth factor receptor 2-negative early bre",breast cancer,40913835,10.1016/j.esmoop.2025.105758
"g challenge. cyclin-dependent kinase 4 and 6 inhibitors (cdk4/6i),",breast cancer,40913835,10.1016/j.esmoop.2025.105758
"and its aberrant gain drives oncogenesis in leukemia and glioma, th",leukemia,40913772,10.1016/j.celrep.2025.116247
paraspeckle protein nono regulates active chromat,leukemia,40913772,10.1016/j.celrep.2025.116247
lly stimulating nsd1. nuclear receptor binding set domain protein 1,leukemia,40913772,10.1016/j.celrep.2025.116247
cancer treatment. heat shock protein 70 (hsp70) represents a criti,breast cancer,40913527,10.1002/advs.202510802
ication of colorectal cancer. peptide-based biosensors are widely u,colorectal cancer,40913455,10.1002/anie.202507241
"locker. by introducing a dual-enzyme recognition mechanism, we dev",colorectal cancer,40913455,10.1002/anie.202507241
human epidermal growth factor receptor 2 (her2) and estrogen recepto,breast cancer,40913401,10.1002/ijc.70135
"ncer by er status. prognostic factors, such as the human epidermal",breast cancer,40913401,10.1002/ijc.70135
", such as the human epidermal growth factor receptor 2 (her2) and estroge",breast cancer,40913401,10.1002/ijc.70135
human epidermal growth factor receptor (her2) has emerged as a tumor,breast cancer,40913387,10.1002/smtd.202500599
while human epidermal growth factor receptor (her2) has emerged a,breast cancer,40913387,10.1002/smtd.202500599
cancer. while human epidermal growth factor receptor (her2) has emerged a,breast cancer,40913387,10.1002/smtd.202500599
st-line programmed cell death protein 1 monotherapy. immune checkpo,melanoma,40913307,10.1111/1346-8138.17938
d cell death protein-1 (pd-1) antibody monotherapy still fail to res,melanoma,40913307,10.1111/1346-8138.17938
Low Density Lipoprotein Receptor-Related Protein-2,melanoma,40913277,10.1111/pcmr.70053
ling. low density lipoprotein receptor-related protein 2 (lrp2) is a,melanoma,40913277,10.1111/pcmr.70053
p2) is a 600 kilodalton multi-ligand endocytic membrane receptor e,melanoma,40913277,10.1111/pcmr.70053
ny signaling. low density lipoprotein receptor-related protein 2 (l,melanoma,40913277,10.1111/pcmr.70053
"r virus-polyomavirus middle t antigen (mmtv-pymt) mice, a widely us",breast cancer,40913249,10.1177/17448069251380034
", with pain enhancing sensory peptides and potentially promoting tu",breast cancer,40913249,10.1177/17448069251380034
vanced stages. the c-reactive protein (crp)-albumin-lymphocyte (cal,colorectal cancer,40913216,10.1007/s12029-025-01307-8
C-Reactive Protein,colorectal cancer,40913216,10.1007/s12029-025-01307-8
the pre-t cell receptor as a tumor immunotherapy targ,leukemia,40913096,10.1038/s41590-025-02269-6
"g-term low dose-rate specific ligand-receptor pair, angptl4-sdc4,",lung cancer,40913060,10.1038/s41416-025-03128-9
"low dose-rate specific ligand-receptor pair, angptl4-sdc4, enhances",lung cancer,40913060,10.1038/s41416-025-03128-9
oxide (no) and the toll-like receptor 7/8 (tlr7/8) agonist r848. no,breast cancer,40912806,10.1016/j.carbpol.2025.124108
human epidermal growth factor receptor 2 (her2)-positive breast canc,breast cancer,40912684,10.1021/acs.jmedchem.5c01184
prognosis of human epidermal growth factor receptor 2 (her2)-positive br,breast cancer,40912684,10.1021/acs.jmedchem.5c01184
sis of human epidermal growth factor receptor 2 (her2)-positive br,breast cancer,40912684,10.1021/acs.jmedchem.5c01184
"ti-her2 therapies, especially antibody-drug conjugates (adcs). in th",breast cancer,40912684,10.1021/acs.jmedchem.5c01184
"n independent poor prognostic factor (hr = 1.59, p = .049). furthe",carcinoma,40912657,10.1016/j.jtho.2025.08.022
s of patient samples. nuclear receptor-binding set domain 3 (nsd3) h,carcinoma,40912657,10.1016/j.jtho.2025.08.022
"tween nsd3 amplification, its protein expression, and cancer cell p",carcinoma,40912657,10.1016/j.jtho.2025.08.022
ated with preoperative cancer antigen (ca) 19-9 level. patients wit,carcinoma,40912524,10.1016/j.gassur.2025.102214
risk factors in predicting radiologically,carcinoma,40912524,10.1016/j.gassur.2025.102214
"s with high affinity to these proteins, suggesting that pet-mps may",breast cancer,40912497,10.1016/j.fct.2025.115725
"ps induced a pro-inflammatory cytokine response, including elevated",breast cancer,40912497,10.1016/j.fct.2025.115725
ed prostate-specific membrane antigen (psma) tracers for prostate c,prostate cancer,40912282,10.1055/a-2652-3273
-concept study. silicon-based ligands are of interest in increasin,prostate cancer,40912282,10.1055/a-2652-3273
single cells from 12 estrogen-receptor-positive breast cancers and i,breast cancer,40912251,10.1016/j.cell.2025.08.012
"atients that showed a luminal hormone-responsive lineage, indicatin",breast cancer,40912251,10.1016/j.cell.2025.08.012
ol regulatory element-binding factor 1 (srebf1) and activated the,colorectal cancer,40912095,10.1016/j.ecoenv.2025.118996
ivated the phosphoinositide 3-kinase (pi3k)/ protein kinase b (akt,colorectal cancer,40912095,10.1016/j.ecoenv.2025.118996
phoinositide 3-kinase (pi3k)/ protein kinase b (akt) signalling pat,colorectal cancer,40912095,10.1016/j.ecoenv.2025.118996
ers targeted tumor-associated antigens (taas). treatment-emergent a,breast cancer,40912047,10.1016/j.esmoop.2025.105573
n = 3). four adcs targeted an oncogene (her2); others targeted tumor,breast cancer,40912047,10.1016/j.esmoop.2025.105573
toxicity and efficacy of antibody-drug conjugates in advanced s,breast cancer,40912047,10.1016/j.esmoop.2025.105573
cogenic transmembrane surface protein that is highly expressed in m,prostate cancer,40911783,10.1158/0008-5472.CAN-24-4855
sis by activating the protein kinase c (pkc)-aldehyde dehydrogenas,breast cancer,40911782,10.1158/0008-5472.CAN-25-0822
metastasis by activating the protein kinase c (pkc)-aldehyde dehyd,breast cancer,40911782,10.1158/0008-5472.CAN-25-0822
te responsive element binding protein (chrebp)-mediated choline dep,colorectal cancer,40911779,10.1158/0008-5472.CAN-25-0235
iated choline deprivation and chemokine secretion shape tumor-associa,colorectal cancer,40911779,10.1158/0008-5472.CAN-25-0235
"ulated through focal adhesion kinase signaling. moreover, dlc1 reg",liver cancer,40911671,10.1126/sciadv.adt6083
"sing machinery, including the protein talin, is organized at the ca",liver cancer,40911671,10.1126/sciadv.adt6083
rhoA GTP-Binding Protein,liver cancer,40911671,10.1126/sciadv.adt6083
GTPase-Activating Proteins,liver cancer,40911671,10.1126/sciadv.adt6083
Protein Binding,liver cancer,40911671,10.1126/sciadv.adt6083
Tumor Suppressor Proteins,liver cancer,40911671,10.1126/sciadv.adt6083
Calcium-Binding Proteins,liver cancer,40911671,10.1126/sciadv.adt6083
"une-related pathways, such as cytokine-cytokine receptor interaction",leukemia,40911615,10.1371/journal.pone.0328911
"receptor interactions and mhc antigen presentation pathways, were d",leukemia,40911615,10.1371/journal.pone.0328911
"nregulated. overexpression of oncogenes (flt3, myb, dnmt3b, and mycn",leukemia,40911615,10.1371/journal.pone.0328911
"ys, such as cytokine-cytokine receptor interactions and mhc antigen",leukemia,40911615,10.1371/journal.pone.0328911
"protac), mgds rely on induced protein-protein interactions as oppos",melanoma,40911408,10.1021/acs.jmedchem.5c01352
nthesis of mgds targeting the transcription factor zbtb11 guided by protein comp,melanoma,40911408,10.1021/acs.jmedchem.5c01352
s targeting the transcription factor zbtb11 guided by protein comp,melanoma,40911408,10.1021/acs.jmedchem.5c01352
"alysis for overlapping genes. protein interactions were explored, w",colorectal cancer,40911331,10.1002/ddr.70151
"lysis, functional enrichment, protein-protein interaction network a",breast cancer,40911231,10.1007/s10552-025-02057-5
"onic acid metabolism, steroid hormone synthesis, and thyroid hormon",breast cancer,40911231,10.1007/s10552-025-02057-5
"es, such as prostate-specific antigen (psa) testing and trans-recta",prostate cancer,40911178,10.1007/s11255-025-04763-0
ging as a potential oncogenic factor. we analyzed the heterogeneit,breast cancer,40911146,10.1007/s10528-025-11242-9
"ering serum prostate-specific antigen (psa) related testing, non-ps",prostate cancer,40911015,N/A
Prostate-Specific Antigen,prostate cancer,40891205; 40902131; 40906959; 40910911; 40911015,10.1200/GO-25-00132; 10.21614/chirurgia.3131; 10.2340/sju.v60.44585; N/A
score 3 and prostate-specific antigen (psa) levels of 4－20 μg/l. cl,prostate cancer,40910911,N/A
"two 14-3-3 clients, estrogen receptor α (erα) and c-raf, we develop",breast cancer,40910885,10.1021/acs.accounts.5c00441
ure-guided design to optimize ligand-protein interactions at the c,breast cancer,40910885,10.1021/acs.accounts.5c00441
stabilization of native protein-protein interactions with mol,breast cancer,40910885,10.1021/acs.accounts.5c00441
-3β in human epidermal growth factor receptor 2 positive (her2+) b,breast cancer,40910781,10.1021/acsbiomaterials.5c00644
glucocorticoid receptor signaling mediates resistance,breast cancer,40910781,10.1021/acsbiomaterials.5c00644
erum/glucocorticoid-regulated kinase 1 (sgk-1) and ranbp1 in tripl,breast cancer,40910781,10.1021/acsbiomaterials.5c00644
and gsk-3β in human epidermal growth factor receptor 2 positive (her2+) b,breast cancer,40910781,10.1021/acsbiomaterials.5c00644
deciphering protein-dna interactions of  metastas,breast cancer,40910466,10.1080/07391102.2025.2553344
mall molecules or therapeutic proteins and were characterized as tu,melanoma,40910408,10.1002/jcph.70102
"Antigens, Surface",prostate cancer,40901472; 40910322,10.32604/cju.2025.066700; 10.3389/fimmu.2025.1467357
nd prostate-specific membrane antigen positron emission tomography,prostate cancer,40910322,10.32604/cju.2025.066700
"Protein Processing, Post-Translational",lung cancer,40910276,10.3892/or.2025.8981
"ed by lactate, alters histone proteins to modify the chromatin stru",lung cancer,40910276,10.3892/or.2025.8981
Cell Cycle Proteins,breast cancer,40910254,10.3892/or.2025.8980
c checkpoint serine/threonine kinase b (bub1b) is involved in nume,breast cancer,40910254,10.3892/or.2025.8980
wn of difficult-to-target oncoproteins employing the ubiquitin-prot,breast cancer,40910236,10.2174/0109298673384371250806104406
"esterone, and human epidermal growth factor receptors. so far, chemothera",breast cancer,40910236,10.2174/0109298673384371250806104406
"human epidermal growth factor receptors. so far, chemotherapeutic dr",breast cancer,40910236,10.2174/0109298673384371250806104406
"e, and human epidermal growth factor receptors. so far, chemothera",breast cancer,40910236,10.2174/0109298673384371250806104406
"nce. moreover, several of the protein bands in this figure were str",ovarian cancer,40910229,10.3892/ijmm.2025.5627
sion levels of salt‑inducible kinase 1 were detected in ovarian ca,ovarian cancer,40910229,10.3892/ijmm.2025.5627
s is associated with multiple factors. epigenetic regulation has b,leukemia,40910221,10.3892/mmr.2025.13671
epigenetically inhibiting the protein expression of dna methyltrans,leukemia,40910221,10.3892/mmr.2025.13671
"activity of histone‑modifying enzymes, and controlling the express",leukemia,40910221,10.3892/mmr.2025.13671
fering valuable insights into ligand-protein complex stabilization,breast cancer,40910213,10.2174/0113895575394059250813074806
valuable insights into ligand-protein complex stabilization. overal,breast cancer,40910213,10.2174/0113895575394059250813074806
"docking studies targeting key enzymes, including tyrosine kinases,",breast cancer,40910213,10.2174/0113895575394059250813074806
"y enzymes, including tyrosine kinases, topoisomerases, and serine/",breast cancer,40910213,10.2174/0113895575394059250813074806
chk1 (pdb id=1ia8) and aurora kinase (pdb id=5orl). molecular dyna,ovarian cancer,40910199,10.2174/0113816128385767250808102022
"led strong and stable protein-ligand complex formation, which was",ovarian cancer,40910199,10.2174/0113816128385767250808102022
"ta revealed strong and stable protein-ligand complex formation, whi",ovarian cancer,40910199,10.2174/0113816128385767250808102022
th cell proliferation. ligand-receptor analysis revealed key interac,leukemia,40910197,10.2174/0118715303420113250818064855
ated with cell proliferation. ligand-receptor analysis revealed ke,leukemia,40910197,10.2174/0118715303420113250818064855
"spectively. prostate specific antigen density (psad), prognosis nut",prostate cancer,40909972,10.3389/fonc.2025.1603993
to identify independent risk factors. a nomogram prediction model,prostate cancer,40909972,10.3389/fonc.2025.1603993
ed prostate-specific membrane antigen (psma)-targeted radioligand t,prostate cancer,40909956,10.3389/fonc.2025.1583168
o optimize psma-targeted radioligand therapy for metastatic castra,prostate cancer,40909956,10.3389/fonc.2025.1583168
dless of treatment or hormone receptor status. additional transforme,breast cancer,40909848,10.1101/2025.08.25.25334393
le regardless of treatment or hormone receptor status. additional t,breast cancer,40909848,10.1101/2025.08.25.25334393
"al associations between 2,923 protein levels and incidence of these",lung cancer,40909825,10.1101/2025.08.27.25334571
are impacted by environmental factors that might independently aff,lung cancer,40909825,10.1101/2025.08.27.25334571
"-based assessment of estrogen receptor (er) status, a critical step",breast cancer,40909747,10.1101/2025.08.27.672012
izing a conformation-specific antibody (clone 7065). pet/ct imaging,leukemia,40909732,10.1101/2025.08.21.671206
"argeting non-cancer-selective antigens have shown promise in aml, t",leukemia,40909732,10.1101/2025.08.21.671206
"r, the role of individual wnt proteins in the development of crc re",colorectal cancer,40909730,10.1101/2025.08.21.671161
"analyses of gene expression, protein abundance, splicing, and chro",breast cancer,40909606,10.1101/2025.08.27.672587
other inflammatory diseases. ligand-independent trem-1 inhibitory,pancreatic cancer,40909488,10.1101/2025.08.22.671865
independent trem-1 inhibitory peptides gf9 and ga31 (the latter in,pancreatic cancer,40909488,10.1101/2025.08.22.671865
atory pathologies. triggering receptor expressed on myeloid cells 1,pancreatic cancer,40909488,10.1101/2025.08.22.671865
"of therapy, prostate-specific antigen (psa) re-elevated; however, a",prostate cancer,40909318,10.1002/iju5.70068
ncer: a case report. androgen receptor signaling inhibitors (arsis),prostate cancer,40909318,10.1002/iju5.70068
h elevated b-type natriuretic peptide (bnp). darolutamide was disco,prostate cancer,40909318,10.1002/iju5.70068
treated with several androgen receptor signaling inhibitors and chem,prostate cancer,40909311,10.1002/iju5.70062
d in marked prostate-specific antigen reduction and significant shr,prostate cancer,40909311,10.1002/iju5.70062
"ide. apalutamide, an androgen receptor antagonist for prostate cance",prostate cancer,40909306,10.1002/iju5.70085
es of innate immune cells and cytokines in shaping the breast cancer,breast cancer,40909271,10.3389/fimmu.2025.1654947
Cytokines,breast cancer,40909271,10.3389/fimmu.2025.1654947
"to endogenous cues (e.g., ph, enzymes, and redox conditions) and e",carcinoma,40909221,10.3389/fbioe.2025.1673134
"ation of key anti-ferroptotic proteins, specifically ferritin and g",pancreatic cancer,40908564,10.1002/advs.202505356
serine/threonine kinase 33 as a novel target of bufal,breast cancer,40908551,10.1002/advs.202506253
"ntifies stk33 as a pro-cancer factor in tnbc, presenting a potenti",breast cancer,40908551,10.1002/advs.202506253
otes the degradation of stk33 protein by destroying the stk33-hsp90,breast cancer,40908551,10.1002/advs.202506253
pact of heterogeneous hormone receptor (hr) expression patterns on h,breast cancer,40908488,10.1186/s12957-025-03962-4
. the impact of heterogeneous hormone receptor (hr) expression patt,breast cancer,40908488,10.1186/s12957-025-03962-4
is an independent prognostic factor for survival outcomes in her2,breast cancer,40908488,10.1186/s12957-025-03962-4
"n, a naturally occurring tetrapeptide, is known for its anti-aging",breast cancer,40908429,10.1007/s10522-025-10315-x
"h epitalon then dna, rna, and proteins were extracted. qpcr and imm",breast cancer,40908429,10.1007/s10522-025-10315-x
Oligopeptides,breast cancer,40908429,10.1007/s10522-025-10315-x
"h the induction of telomerase enzyme activity, resulting in the ex",breast cancer,40908429,10.1007/s10522-025-10315-x
"tients with advanced estrogen receptor-positive, her2",breast cancer,40908356,10.1038/s41591-025-03935-w
patritumab deruxtecan in hr antibody-drug conjugates have shown im,breast cancer,40908353,10.1038/s41591-025-03885-3
"lines increased ecd mrna and protein levels, and ar knockdown (kd)",prostate cancer,40908313,10.1038/s41388-025-03559-x
"ecd, a novel androgen receptor target promotes prostate canc",prostate cancer,40908313,10.1038/s41388-025-03559-x
al role of ecd to maintain pc oncogenesis. ecd mrna and protein are,prostate cancer,40908313,10.1038/s41388-025-03559-x
location of the transcription factor nf-κb to the nucleus and the,prostate cancer,40908300,10.1038/s41392-025-02376-8
"Receptors, CXCR4",prostate cancer,40908300,10.1038/s41392-025-02376-8
d by the translocation of the transcription factor nf-κb to the nucleus and the,prostate cancer,40908300,10.1038/s41392-025-02376-8
e pro-metastatic cell surface protein cub-domain containing protein,breast cancer,40908298,10.1038/s41416-025-03163-6
"otein 1 (cdcp1) activates src kinase localized in mitochondria, wh",breast cancer,40908298,10.1038/s41416-025-03163-6
1 knockdown increased nuclear receptor coactivator 4 (ncoa4)-mediate,ovarian cancer,40907917,10.1016/j.ijbiomac.2025.147257
"x o1 (foxo1), a transcription factor essential for tumorigenesis a",breast cancer,40907897,10.1016/j.jbc.2025.110677
"e (asl) expression, a crucial enzyme in the urea cycle, leading to",breast cancer,40907897,10.1016/j.jbc.2025.110677
"fy forkhead box o1 (foxo1), a transcription factor essential for tumorigenesis a",breast cancer,40907897,10.1016/j.jbc.2025.110677
"eat kinase 2 (lrrk2), a large protein with kinase and gtpase activi",leukemia,40907896,10.1016/j.jbc.2025.110675
"of lrrk2. leucine-rich repeat kinase 2 (lrrk2), a large protein wi",leukemia,40907896,10.1016/j.jbc.2025.110675
ship between deubiquitinating enzymes (dubs) and lrrk2 has not bee,leukemia,40907896,10.1016/j.jbc.2025.110675
"b, an epidermal growth factor receptor (egfr) inhibitor, dynamically",lung cancer,40907812,10.1016/j.actbio.2025.09.001
"rlotinib, an epidermal growth factor receptor (egfr) inhibitor, dy",lung cancer,40907812,10.1016/j.actbio.2025.09.001
"1>2). erlotinib, an epidermal growth factor receptor (egfr) inhibitor, dy",lung cancer,40907812,10.1016/j.actbio.2025.09.001
"and poor prognosis. nudc-like protein 2 (nudcl2), a molecular cocha",pancreatic cancer,40907782,10.1016/j.yexcr.2025.114730
"ession. the upregulated tra2a protein, functioning as a key splicin",ovarian cancer,40907573,10.4143/crt.2025.752
"functioning as a key splicing factor, specifically regulates alter",ovarian cancer,40907573,10.4143/crt.2025.752
"cing-based multigene assay in hormone receptor-positive, her2-negat",breast cancer,40907570,10.4143/crt.2025.701
"ed multigene assay in hormone receptor-positive, her2-negative breas",breast cancer,40907570,10.4143/crt.2025.701
", tumor size > 2 cm, androgen receptor positivity, and high cd66b+ t",breast cancer,40907422,10.1016/j.prp.2025.156205
"al enhancer associated domain proteins), one of the final effectors",ovarian cancer,40907380,10.1016/j.ejmech.2025.118056
l as osteoporosis. menopausal hormone therapy (mht) is indicated fo,thyroid cancer,40907339,10.1016/j.maturitas.2025.108715
"atments, such as neurokinin-3 receptor antagonists, should be consid",thyroid cancer,40907339,10.1016/j.maturitas.2025.108715
on via lrh1 sustains estrogen receptor signaling and promotes endocr,breast cancer,40907246,10.1016/j.jbc.2025.110553
"tor-positive, human epidermal growth factor receptor 2-negative (hr+/her2",breast cancer,40907238,10.1016/j.breast.2025.104568
"ival in patients with hormone receptor-positive, human epidermal gro",breast cancer,40907238,10.1016/j.breast.2025.104568
"and survival in patients with hormone receptor-positive, human epid",breast cancer,40907238,10.1016/j.breast.2025.104568
"itive, human epidermal growth factor receptor 2-negative (hr+/her2",breast cancer,40907238,10.1016/j.breast.2025.104568
treated with cyclin-dependent kinase 4/6 (cdk4/6) inhibitors remai,breast cancer,40907238,10.1016/j.breast.2025.104568
ent of patients were estrogen receptor positive. two hundred and thi,endometrial cancer,40907210,10.1016/j.esmoop.2025.105755
